Property_ID,Listing_Title,Property_Type,Listing_Type,Created,Scraped,Latitude,Longitude,City,Airbnb_PID,Airbnb_HID,HomeAway_PID,HomeAway_HID
ab-10704286,Waterfront home Prince Edward Cnty,Cottage,Entire home/apt,2016-01-18,2019-05-24,44.12529,-77.41375,Prince Edward County,10704286,40574109,NA,NA
ab-10723068,The Gathering Spot,House,Entire home/apt,2016-01-19,2019-05-24,43.95235,-77.35061,Prince Edward County,10723068,55416267,NA,NA
ab-10799013,Urban County House in the Heart of Wellington,House,Entire home/apt,2016-01-22,2019-05-24,43.9526,-77.35118,Prince Edward County,10799013,25752825,NA,NA
ab-10809166,Cosy Bedroom In Our Century Home,House,Private room,2018-09-24,2019-05-24,44.00785,-77.12864,Prince Edward County,10809166,46004382,NA,NA
ab-1087365,Century Farmhouse on Bay of Quinte Waterfront,House,Entire home/apt,2013-04-17,2018-04-12,44.13537606017532,-77.22673625149389,Prince Edward County,1087365,5977017,NA,NA
ab-10985313,Our County Place,House,Entire home/apt,2016-01-30,2019-05-24,43.95312,-77.35522,Prince Edward County,10985313,54068851,NA,NA
ab-1098763,"Cherry Beach Cottage, East Lake.",House,Entire home/apt,2013-04-21,2016-09-18,43.92488578904872,-77.18657208092033,Prince Edward County,1098763,2947073,NA,NA
ab-11033605,OneSky Holiday Rental Bay of Quinte,House,Private room,2017-07-24,2018-06-30,44.12950065846757,-77.37678233836952,Prince Edward County,11033605,57258251,NA,NA
ab-11061637,Bridge and Low Guest House,House,Entire home/apt,2016-02-03,2017-01-29,44.0108710017733,-77.13054551478466,Prince Edward County,11061637,57412093,NA,NA
ab-11145012,East Lake Eden,House,Entire home/apt,2016-02-07,2017-01-11,43.93484223639349,-77.15645936849673,Prince Edward County,11145012,13521103,NA,NA
ab-11166927,Mimi&#x27;s Not Here,Apartment,Entire home/apt,2016-02-08,2016-11-01,43.9522049162408,-77.351233101689985,Prince Edward County,11166927,14208060,NA,NA
ab-11332222,"Little Ben. Wellington, ON",Cabin,Entire home/apt,2016-02-16,2017-07-26,43.95047579345336,-77.35602937793564,Prince Edward County,11332222,59300780,NA,NA
ab-11356530,Back Forty Beauty,House,Entire home/apt,2018-06-29,2019-04-26,44.04382,-77.09215,Prince Edward County,11356530,59484306,NA,NA
ab-11421795,"The White House in Hillier, PEC",House,Entire home/apt,2016-02-20,2019-05-21,43.97327,-77.45515,Prince Edward County,11421795,59991184,NA,NA
ab-11441226,#2 In The Heart Of The County,House,Private room,2016-02-21,2019-05-24,43.97655,-77.36369,Prince Edward County,11441226,1844409,NA,NA
ab-11474619,Walk to a Winery! (#4),Private room,Private room,2016-02-22,2019-05-23,43.89889,-77.06141,Prince Edward County,11474619,60377967,NA,NA
ab-11493883,Cozy Cottage on Picton harbour,House,Entire home/apt,2016-02-23,2016-11-08,44.01579286569442,-77.13455625672626,Prince Edward County,11493883,999698,NA,NA
ab-11506689,Melville Cottage,Cabin,Entire home/apt,2016-02-24,2016-09-27,44.01341007894836,-77.41880072399208,Prince Edward County,11506689,7684143,NA,NA
ab-11522959,Loyalist Lofts Picton apartment,Apartment,Entire home/apt,2016-02-25,2019-05-23,44.00648,-77.14323,Prince Edward County,11522959,60752193,NA,NA
ab-11527431,Loyalist Lofts Wellington apartment,Apartment,Entire home/apt,2016-02-25,2019-05-22,44.00696,-77.14305,Prince Edward County,11527431,60752193,NA,NA
ab-11530144,Loyalist Lofts Bloomfield apartment,Apartment,Entire home/apt,2016-02-25,2019-05-23,44.00545,-77.14172,Prince Edward County,11530144,60752193,NA,NA
ab-11530840,West Wind Cottage,House,Entire home/apt,2016-02-25,2019-05-22,43.95435,-77.33458,Prince Edward County,11530840,13521103,NA,NA
ab-11575134,5 minutes from sandbanks,House,Entire home/apt,2016-02-27,2019-05-22,43.90549,-77.15708,Prince Edward County,11575134,61180298,NA,NA
ab-11600199,#3 In The Heart of The County,House,Private room,2016-02-28,2019-05-24,43.97551,-77.36192,Prince Edward County,11600199,1844409,NA,NA
ab-11600557,#1 In The Heart of The County,Farm stay,Private room,2016-02-28,2019-05-24,43.97538,-77.36255,Prince Edward County,11600557,1844409,NA,NA
ab-11609617,Towers Carriage House Apartment,Apartment,Entire home/apt,2016-03-01,2018-09-02,44.05644210762565,-77.29567618242635,Prince Edward County,11609617,30424376,NA,NA
ab-11625087,A Captains Dream,House,Entire home/apt,2016-12-06,2019-05-20,43.91667,-77.02657,Prince Edward County,11625087,61576988,NA,NA
ab-11638394,"Luxury Home: Sandbanks Pass, Volleyball, Theatre",House,Entire home/apt,2016-03-01,2019-05-21,44.03683,-77.051,Prince Edward County,11638394,61632708,581224vb,NA
ab-11667618,Beach Therapy - 10 min. walk to Wellington Beach,House,Private room,2016-03-03,2019-05-23,43.95368,-77.33942,Prince Edward County,11667618,47108286,NA,NA
ab-11667968,Michael's County House,House,Entire home/apt,2016-03-03,2019-05-24,44.01391,-77.03253,Prince Edward County,11667968,61941224,NA,NA
ab-11672566,Wellington Cottage @twinbirchca,Guesthouse,Entire home/apt,2016-03-03,2019-05-24,43.95179,-77.3375,Prince Edward County,11672566,10806322,NA,NA
ab-1167984,Wildflower Cottage (in the County),House,Entire home/apt,2013-05-13,2019-05-21,43.98742,-77.01351,Prince Edward County,1167984,3920765,NA,NA
ab-11695843,The Beacon - Wellington,Apartment,Entire home/apt,2016-03-05,2019-05-22,43.95083,-77.33974,Prince Edward County,11695843,19805267,NA,NA
ab-11758336,Old Dairy Barn - Milking Parlour,Cottage,Entire home/apt,2016-03-08,2019-05-22,43.88151,-77.21372,Prince Edward County,11758336,6269395,NA,NA
ab-11759190,Edge of East Lake - Cane Cottage,Cottage,Entire home/apt,2016-03-08,2019-05-23,43.90171,-77.22398,Prince Edward County,11759190,6269395,NA,NA
ab-11759779,The Ferg - Main House,House,Entire home/apt,2016-03-08,2019-05-24,44.00315,-77.14588,Prince Edward County,11759779,62584153,7652356,NA
ab-11791457,A Quiet Touch Of Luxury,Apartment,Entire home/apt,2016-03-10,2017-06-01,43.95294799475516,-77.35200920453644,Prince Edward County,11791457,11097474,NA,NA
ab-11863516,Lake Consecon Lake House,House,Entire home/apt,2017-05-08,2019-04-27,44.00526,-77.44185,Prince Edward County,11863516,63239329,NA,NA
ab-11872598,The Ferg - One Bedroom Suite,House,Entire home/apt,2016-03-14,2019-05-21,44.00565,-77.14759,Prince Edward County,11872598,62584153,7652351,NA
ab-11880021,West Lake County Cottage,Entire cabin,Entire home/apt,2016-03-15,2018-01-14,43.91802731043948,-77.268627774742,Prince Edward County,11880021,63343954,NA,NA
ab-11884335,Prince Edward County Sunsets!!,Bungalow,Entire home/apt,2016-03-15,2018-11-02,44.07810314506261,-77.30362654269213,Prince Edward County,11884335,13504230,NA,NA
ab-11895005,Private Country Home 15 mins. to Sandbanks,House,Entire home/apt,2016-03-16,2018-04-24,43.87720130844361,-77.18685172625153,Prince Edward County,11895005,57971799,NA,NA
ab-1190861,Old Dairy Barn at Sandbanks-Hayloft,Cottage,Entire home/apt,2013-05-20,2019-05-22,43.88211,-77.21217,Prince Edward County,1190861,6269395,NA,NA
ab-11924082,Whispering Pines Lake House,House,Entire home/apt,2016-03-17,2019-05-22,43.93655,-77.25451,Prince Edward County,11924082,63635714,NA,NA
ab-11939444,Carusos On King B&B & Serenity Spa-Garden Room,Guest suite,Private room,2016-03-18,2018-10-19,44.00870573630776,-77.14536712756254,Prince Edward County,11939444,63740596,NA,NA
ab-12001401,Cressy Longhouse a waterfront barn,House,Entire home/apt,2016-03-22,2017-11-29,44.04989800717792,-76.90254992550054,Prince Edward County,12001401,64175277,NA,NA
ab-12009796,The Village Suites - THE SHORELINE,Apartment,Entire home/apt,2016-03-22,2019-05-22,43.95149,-77.3514,Prince Edward County,12009796,30499851,NA,NA
ab-12010354,Family home near Sandbanks.,House,Entire home/apt,2016-03-22,2019-05-22,43.88662,-77.2094,Prince Edward County,12010354,27403933,NA,NA
ab-12010806,The Village Suites - THE VINEYARD,Apartment,Entire home/apt,2016-03-22,2019-05-23,43.95098,-77.35169,Prince Edward County,12010806,30499851,NA,NA
ab-12059038,Cute County Cottage,House,Entire home/apt,2016-12-05,2018-09-23,43.93197878810708,-77.14747307784755,Prince Edward County,12059038,64595909,NA,NA
ab-12066356,Eiderdown House,Guest suite,Entire home/apt,2016-03-25,2018-10-05,43.95287345979197,-77.33722504652253,Prince Edward County,12066356,13521103,NA,NA
ab-12083547,The Beach Waupoos - Big Blue House - Sleeps 8,House,Entire home/apt,2016-03-26,2018-11-08,44.02456272563975,-76.94703217978962,Prince Edward County,12083547,12756321,NA,NA
ab-12142768,Waupoos Island Cottage,Cabin,Entire home/apt,2016-03-30,2017-01-02,44.00073917657535,-76.96390076760292,Prince Edward County,12142768,26284284,NA,NA
ab-12150237,Country Cabin-walk to winery-free Sandbanks pass,Cabin,Entire home/apt,2016-03-30,2019-05-23,43.93298,-77.00134,Prince Edward County,12150237,32965441,NA,NA
ab-12155491,Family and Dog Friendly Home in Wine Country,House,Entire home/apt,2016-03-30,2017-11-18,43.96545723995692,-77.36278534503498,Prince Edward County,12155491,8308515,NA,NA
ab-12190462,Be our guest! Family Friendly 3bdm+den on resort,Cottage,Entire home/apt,2016-04-01,2019-05-22,43.92357,-77.17841,Prince Edward County,12190462,64348925,NA,NA
ab-12197473,Sandbanker,Cottage,Entire home/apt,2016-04-01,2019-05-24,43.9295,-77.25719,Prince Edward County,12197473,32836421,NA,NA
ab-1220839,Upper Apt in Downtown Wellington,Apartment,Entire home/apt,2013-05-30,2017-07-03,43.95196786411977,-77.35115061184014,Prince Edward County,1220839,6659980,NA,NA
ab-12219016,Waterfront Guest Suite,Apartment,Entire home/apt,2016-04-02,2017-11-18,43.95871185617537,-77.30854850801835,Prince Edward County,12219016,65724320,NA,NA
ab-12222986,"Quaint, Cozy & Spacious Suite",Apartment,Entire home/apt,2016-04-03,2017-06-01,43.95374062016883,-77.35187482175078,Prince Edward County,12222986,11097474,NA,NA
ab-12246383,The Flower Shop Flat,Apartment,Entire home/apt,2016-04-04,2017-03-07,44.0076338272838,-77.14132053670214,Prince Edward County,12246383,2099924,NA,NA
ab-12268829,LAKESIDE RETREAT,Cabin,Entire home/apt,2016-04-05,2018-05-07,43.99668334923803,-77.4701896990891,Prince Edward County,12268829,66082816,NA,NA
ab-12273060,WINDATT MANOR,House,Entire home/apt,2016-04-05,2017-07-19,43.93398275633827,-77.25439680856167,Prince Edward County,12273060,57442589,NA,NA
ab-12302045,Turtle Crossing Cottage,House,Entire home/apt,2016-04-06,2019-05-25,43.94052,-77.24916,Prince Edward County,12302045,66323892,899400vb,NA
ab-12317568,Lakefront House - By Sandbanks Park 8 Adults+3kids,House,Entire home/apt,2016-04-07,2019-05-22,43.93714,-77.26378,Prince Edward County,12317568,55050811,664269vb,NA
ab-12322038,County Charm,House,Entire home/apt,2016-04-07,2019-01-06,44.03082118860917,-77.51157422785944,Prince Edward County,12322038,63415674,NA,NA
ab-12324285,Reconnect With Nature - Off Grid Cabin,Cabin,Entire home/apt,2016-04-07,2019-05-24,44.02982,-77.364,Prince Edward County,12324285,11097474,870394vb,NA
ab-12342051,The Richmond in Prince Edward County,House,Entire home/apt,2016-04-08,2019-05-21,43.98655,-77.24263,Prince Edward County,12342051,13673567,NA,NA
ab-12344865,Walk to Wineries and Lake Ontario! (#2),Private room,Private room,2016-04-08,2019-05-23,43.89927,-77.06168,Prince Edward County,12344865,60377967,NA,NA
ab-12346394,Spacious Suite - next to winery! (#1),Private room,Private room,2016-04-08,2019-05-23,43.89757,-77.06143,Prince Edward County,12346394,60377967,NA,NA
ab-12374024,Amazing space for groups and kids,Farm stay,Private room,2016-04-10,2019-05-23,43.89903,-77.0614,Prince Edward County,12374024,60377967,NA,NA
ab-12374393,"SANDBANKS PASS - Steps to Downtown - Picton, On",Apartment,Entire home/apt,2016-04-10,2019-05-20,44.00968,-77.13884,Prince Edward County,12374393,17037493,NA,NA
ab-12410522,The English Inn,House,Private room,2016-04-12,2019-05-23,43.93325,-77.09228,Prince Edward County,12410522,62028267,NA,NA
ab-12494773,Westlake Cottage Near Sandbanks,House,Entire home/apt,2016-04-16,2017-10-15,43.95138580989367,-77.24259101516363,Prince Edward County,12494773,67654443,NA,NA
ab-12517168,"Nearby golfing, wine, town & beach",House,Entire home/apt,2016-04-17,2016-12-11,44.0492679585001,-77.12782981648468,Prince Edward County,12517168,67790897,NA,NA
ab-12557780,Boat House Loft by the Bay,Loft,Entire home/apt,2016-04-19,2016-12-09,44.03617109963722,-77.11584328477917,Prince Edward County,12557780,8903488,NA,NA
ab-12648460,3BD in Picton Perfect for Families,Entire house,Entire home/apt,2017-03-06,2017-12-12,44.00510357342645,-77.15616490266541,Prince Edward County,12648460,3904156,NA,NA
ab-12655118,"Treetops, Picton, entire home, Sandbanks 12 min",House,Entire home/apt,2017-07-19,2019-05-24,44.00301,-77.14575,Prince Edward County,12655118,24512248,NA,NA
ab-12732628,Titan Lodge. Rm. H- Priv. 2 Singles,Dorm,Private room,2016-04-27,2017-03-19,44.02462839152399,-76.93756528022354,Prince Edward County,12732628,69236092,NA,NA
ab-12735125,Titan Lodge - Private single room,Dorm,Private room,2016-04-27,2016-05-20,44.02617845325389,-76.93702941383377,Prince Edward County,12735125,69236092,NA,NA
ab-12735327,Titan Lodge Hostel. Private DBL Rm,Other,Private room,2016-04-27,2016-05-21,44.02596542539795,-76.93715985178304,Prince Edward County,12735327,69236092,NA,NA
ab-12735386,Titan Lodge - Private Single Room,Dorm,Private room,2016-04-27,2016-05-20,44.02463387547868,-76.9376761025012,Prince Edward County,12735386,69236092,NA,NA
ab-12788747,Kleinsteuber Parks Loft - includes Park Pass,Loft,Entire home/apt,2016-05-01,2019-05-22,43.9408,-77.23478,Prince Edward County,12788747,69621352,NA,NA
ab-12804307,Lady Whiskey,Apartment,Entire home/apt,2016-05-01,2019-05-21,43.98563,-77.23228,Prince Edward County,12804307,47192550,NA,NA
ab-12825129,Cottages on West Lake,Cabin,Entire home/apt,2016-05-02,2017-01-21,43.95925070305275,-77.31167130069691,Prince Edward County,12825129,67864542,NA,NA
ab-12886930,Charming Waterfront Home,Bungalow,Entire home/apt,2016-05-06,2019-05-23,43.99948,-77.46703,Prince Edward County,12886930,55942596,704735vb,NA
ab-12900971,Art Acres,Bungalow,Private room,2016-05-07,2019-05-24,43.97193,-77.37938,Prince Edward County,12900971,70669177,NA,NA
ab-12912372,Poolside Cottage on West Lake,Cabin,Entire home/apt,2016-05-07,2017-11-15,43.95756269443047,-77.30763918683385,Prince Edward County,12912372,65724320,NA,NA
ab-12922401,Tranquil waterfront cabin,Cabin,Entire home/apt,2016-05-08,2019-05-25,43.93195,-77.48744,Prince Edward County,12922401,70899970,NA,NA
ab-12929247,"Bright Sky, a Getaway at Sandbanks",House,Entire home/apt,2016-05-08,2019-05-22,43.93655,-77.26213,Prince Edward County,12929247,20984148,862584vb,NA
ab-12941780,"Greyhouse-Waterfront, pool, hot tub in The County",House,Entire home/apt,2016-05-09,2019-05-24,44.13781,-77.39174,Prince Edward County,12941780,68865249,NA,NA
ab-1295056,Cherry Beach Resort - Sandbanks,Tiny house,Entire home/apt,2013-06-20,2018-06-29,43.92185723487349,-77.17864347490712,Prince Edward County,1295056,7041827,NA,NA
ab-12955051,Ways Landing Waterfront Retreat,House,Entire home/apt,2016-05-10,2016-10-19,44.03624136139577,-77.11776535902528,Prince Edward County,12955051,37616933,NA,NA
ab-12961840,Farmhouse in PEC -  20 min. to The Sandbanks,House,Entire home/apt,2016-05-10,2019-05-21,43.9843,-77.0928,Prince Edward County,12961840,71269622,861969vb,NA
ab-1296222,Waterfront House by Sandbanks Park,House,Entire home/apt,2013-06-20,2017-07-22,43.93747506727847,-77.26740838402405,Prince Edward County,1296222,1421405,NA,NA
ab-12969594,Passingwinds,Apartment,Entire home/apt,2016-05-11,2017-10-15,44.02868405572523,-77.13265752731476,Prince Edward County,12969594,71345718,NA,NA
ab-12991322,Tranquil Lakeview House w/ kayaks,Cottage,Entire home/apt,2016-05-12,2019-05-23,44.08885,-76.88492,Prince Edward County,12991322,12940058,NA,NA
ab-1299927,Charming Coach House in the County,Guest suite,Entire home/apt,2013-06-22,2017-10-21,43.93909628908337,-77.09796446841354,Prince Edward County,1299927,7067749,NA,NA
ab-13047855,Casa Chateau; A Room with a View,House,Private room,2016-11-24,2016-12-13,43.9641557573419,-77.48439605273406,Prince Edward County,13047855,28922408,NA,NA
ab-13062652,Cracklin' Rosie,Apartment,Entire home/apt,2016-05-17,2019-05-23,43.96352,-77.22114,Prince Edward County,13062652,47192550,NA,NA
ab-13094132,Clafeld House - Room #1,Farm stay,Private room,2016-05-19,2019-05-21,44.01392,-76.97159,Prince Edward County,13094132,72701715,NA,NA
ab-13124499,Bailey&#x27;s Cottage (As seen on TV),Cabin,Entire home/apt,2016-05-20,2016-12-21,43.98968304497887,-77.01079515223915,Prince Edward County,13124499,73045814,NA,NA
ab-13127276,Magnolia North B&B Queen Bedroom,Guest suite,Private room,2016-05-21,2018-09-25,43.96789542445158,-77.03934179798502,Prince Edward County,13127276,59583381,NA,NA
ab-13127743,Magnolia North B&B King Bedroom,Guest suite,Private room,2016-05-21,2018-09-25,43.96571414355524,-77.04163971745452,Prince Edward County,13127743,59583381,NA,NA
ab-13138342,Old Dairy Barn - Milking Parlour + Creamery,Cottage,Entire home/apt,2016-05-21,2019-05-21,43.88181,-77.21317,Prince Edward County,13138342,6269395,NA,NA
ab-13140726,Titan Lodge,Other,Entire home/apt,2016-05-21,2017-03-19,44.02487709892288,-76.93702496819665,Prince Edward County,13140726,69236092,NA,NA
ab-13141661,Titan Lodge -Rm F - Priv. 2 Singles,Other,Private room,2016-05-21,2017-04-08,44.02651212536684,-76.93570925850835,Prince Edward County,13141661,69236092,NA,NA
ab-13175326,Near the heart of Waupoos...,House,Entire home/apt,2016-05-24,2019-05-24,44.02903,-76.92834,Prince Edward County,13175326,73657565,NA,NA
ab-13187278,Clafeld House - Room #2,House,Private room,2016-05-24,2019-05-24,44.01572,-76.97117,Prince Edward County,13187278,72701715,NA,NA
ab-13187699,Clafeld House - Room #3,House,Private room,2016-05-24,2019-03-24,44.01511,-76.97324,Prince Edward County,13187699,72701715,NA,NA
ab-13188051,Clafeld House - Room #4,Farm stay,Private room,2016-05-24,2019-05-23,44.01424,-76.97099,Prince Edward County,13188051,72701715,NA,NA
ab-13190828,Catherine Street Cutie,House,Entire home/apt,2016-05-25,2019-05-21,44.00283,-77.14894,Prince Edward County,13190828,73827873,NA,NA
ab-13197580,No.10,House,Entire home/apt,2016-05-25,2018-11-24,43.93966142495312,-77.1488562411135,Prince Edward County,13197580,23453731,NA,NA
ab-13200088,Maple & Oak Summer House - Near the Drake,House,Entire home/apt,2016-05-25,2019-05-22,43.95196,-77.3461,Prince Edward County,13200088,2176649,NA,NA
ab-13244824,The Backcountry Inn & Hostel  -Queen Room,Nature lodge,Private room,2016-05-28,2019-05-23,44.02603,-76.93627,Prince Edward County,13244824,69236092,NA,NA
ab-13248269,Thompson Farm Guest House,Apartment,Entire home/apt,2016-05-28,2019-05-23,44.0669,-77.17275,Prince Edward County,13248269,74484189,NA,NA
ab-13273473,The Stone Farm House,House,Entire home/apt,2016-05-30,2019-05-22,44.02707,-77.21626,Prince Edward County,13273473,71022941,NA,NA
ab-13282165,Hidden Treasure  4 Season Entire Private House,Cottage,Entire home/apt,2016-05-30,2019-05-25,44.03296,-77.01943,Prince Edward County,13282165,74818144,NA,NA
ab-13282173,Titan Lodge - Rm I- Priv. 2 singles,Other,Private room,2016-05-30,2017-03-18,44.02486357537962,-76.93693204533818,Prince Edward County,13282173,69236092,NA,NA
ab-13291163,Tangela's Gate Suites | The Cardinal Suite,Apartment,Private room,2016-06-01,2019-05-23,43.96956,-77.38146,Prince Edward County,13291163,74996596,NA,NA
ab-13300968,Forever and a Day,House,Entire home/apt,2016-06-01,2019-05-23,43.94566,-77.42438,Prince Edward County,13300968,75119368,NA,NA
ab-13302582,Mandevilla Birch Lane,House,Entire home/apt,2016-06-01,2018-04-11,44.03853844687397,-77.04803074752446,Prince Edward County,13302582,13358950,NA,NA
ab-13306107,Titan Lodge. Rm G- priv.2 singles.,Dorm,Private room,2016-06-01,2017-03-19,44.02661755936225,-76.93677581771873,Prince Edward County,13306107,69236092,NA,NA
ab-13317006,Sunny Lane House,House,Entire home/apt,2016-06-01,2019-05-23,44.0039,-77.14559,Prince Edward County,13317006,75288083,NA,NA
ab-13330157,Hidden Treasure Rooms or Entire House,House,Private room,2016-06-02,2017-10-20,44.0306660115841,-77.02039859269432,Prince Edward County,13330157,74818144,NA,NA
ab-13333401,Waterfront County Cottage,House,Entire home/apt,2016-06-02,2019-05-24,44.05434,-77.56942,Prince Edward County,13333401,35386944,NA,NA
ab-13348423,The Farmhouse,House,Entire home/apt,2016-06-03,2017-05-31,43.93051500678153,-77.25704684392446,Prince Edward County,13348423,75656179,NA,NA
ab-13361869,"Lakefront, pool and 3 minutes to Sandbanks!",House,Entire home/apt,2016-06-04,2019-05-24,43.92555,-77.20884,Prince Edward County,13361869,38404050,NA,NA
ab-13386658,Bowser's Hilltop 660 sq. ft. Apt.-Sandbanks Pass,Apartment,Entire home/apt,2016-06-06,2019-05-23,43.99459,-77.15282,Prince Edward County,13386658,75893787,NA,NA
ab-13396363,Serene Waterfront Cottage on the Bay of Quinte,Cabin,Entire home/apt,2016-06-06,2018-11-15,44.07802840644542,-77.53608147824171,Prince Edward County,13396363,1002420,NA,NA
ab-13414404,Windows of Milford Hamlet,Cabin,Entire home/apt,2016-06-07,2017-03-09,43.93653944879823,-77.09965621966379,Prince Edward County,13414404,76413741,NA,NA
ab-13414706,Loha Farms Loft,Loft,Entire home/apt,2016-06-07,2017-02-18,44.00055929390282,-77.0710369098046,Prince Edward County,13414706,75963511,NA,NA
ab-13430273,33 East Mary Street,House,Private room,2016-06-08,2019-05-23,44.0075,-77.1396,Prince Edward County,13430273,71371339,NA,NA
ab-13461991,"""Dunes"" Circa 1862",House,Entire home/apt,2016-06-10,2017-04-27,43.92861371649784,-77.2573333603039,Prince Edward County,13461991,32836421,NA,NA
ab-1349804,Island Suite Minutes From Sandbanks,Apartment,Private room,2013-07-04,2019-05-21,43.9326,-77.27041,Prince Edward County,1349804,3245417,NA,NA
ab-13507056,Blue Bungalow in Wellington,Bungalow,Entire home/apt,2016-06-13,2018-11-04,43.95156826994646,-77.33405784398484,Prince Edward County,13507056,9536856,NA,NA
ab-13528810,Bright Sunny Home with a View,House,Entire home/apt,2016-06-14,2017-06-25,44.09345959002971,-77.50329089517768,Prince Edward County,13528810,33282962,NA,NA
ab-13559285,Luxurious Full Lower Level of Home + Gym & Cinema,House,Private room,2016-06-16,2018-10-14,44.11228529896184,-77.4474996889558,Prince Edward County,13559285,18157680,NA,NA
ab-13589480,Waterfront Entire Home/Cottage in Cherry Valley,Cottage,Entire home/apt,2016-06-18,2019-05-21,43.91894,-77.18606,Prince Edward County,13589480,78492989,NA,NA
ab-13589583,LOHA FARMHOUSE,House,Entire home/apt,2016-06-18,2017-02-09,43.99768752602438,-77.07217214198488,Prince Edward County,13589583,75963511,NA,NA
ab-13600431,Seafarers Haven,Apartment,Entire home/apt,2016-06-19,2019-05-24,43.94949,-77.35713,Prince Edward County,13600431,78641857,NA,NA
ab-13604295,Blue Heron Lake House,Cottage,Entire home/apt,2016-06-19,2019-05-21,43.93702,-77.2625,Prince Edward County,13604295,63541924,869087vb,NA
ab-13620165,Terpstra Guest House on The Farm!,Cabin,Entire home/apt,2016-06-20,2019-05-23,43.96303,-77.16816,Prince Edward County,13620165,78878871,NA,NA
ab-13630858,"Newly Renovated, Steps to Downtown, SANDBANKS PASS",Apartment,Entire home/apt,2016-06-21,2019-01-08,44.00757857549479,-77.13907296758524,Prince Edward County,13630858,17037493,NA,NA
ab-13637280,Kelly road b&b,Guest suite,Entire home/apt,2016-06-21,2019-05-24,43.88442,-77.18154,Prince Edward County,13637280,79092612,NA,NA
ab-13665624,Barley Days Stays,House,Entire home/apt,2016-06-23,2018-09-15,43.99312328827242,-77.18920240645863,Prince Edward County,13665624,76311271,NA,NA
ab-13672523,The Princess Sophia,House,Entire home/apt,2016-06-23,2019-02-01,44.12333529408927,-77.13342701666014,Prince Edward County,13672523,13521103,NA,NA
ab-13711034,"Cardwell Cottage, Milford, Prince Edward County",House,Entire home/apt,2016-06-25,2017-08-27,43.97002781444877,-77.02711166817186,Prince Edward County,13711034,80046315,NA,NA
ab-13715614,"Little House on the Mountain, Picton,  PEC",Bungalow,Entire home/apt,2016-06-26,2019-05-24,44.03614,-77.048,Prince Edward County,13715614,80134898,NA,NA
ab-13727093,The Backcountry Inn & Hostel  - Bunks,Farm stay,Shared room,2016-06-26,2019-05-24,44.02606,-76.93679,Prince Edward County,13727093,69236092,NA,NA
ab-13729417,Prince Edward County Lakehouse,House,Entire home/apt,2016-12-05,2017-05-26,44.13526118026113,-77.36308800516305,Prince Edward County,13729417,80299208,NA,NA
ab-13730904,Sandbanks Beach House,House,Entire home/apt,2016-06-27,2017-08-26,43.90007732678033,-77.22240848599355,Prince Edward County,13730904,65409186,NA,NA
ab-13731439,Hilltop,House,Private room,2016-06-27,2019-05-18,44.07691,-77.30604,Prince Edward County,13731439,80323553,NA,NA
